AMP ID,Project Title,Status,Donor,District,City
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Kalikot,Kalikot
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Kanchanpur,Mahendara Nagar
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Kapilvastu,Taulihawa
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Kaski,Pokhara
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Kathmandu,Kathmandu
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Kavrepalanchok,Dhulikhel
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Khotang,Diktel
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Lalitpur,Patan
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Lamjung,Bensi Sahar
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Mahottari,Jaleswor
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Makwanpur,Hetauda
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Manang,Chame
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Morang,Biratnagar
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Mugu,Gamgadhi
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Myagdi,Beni
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Nawalparasi,Parasi
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Nuwakot,Bidur
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Okhaldhunga,Okhaldhunga
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Palpa,Tansen
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Panchthar,Phidim
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Parbat,Kusma
